Waktu,ketinggian,intensitas,kategori_banjir
01/01/2015,5.63,33,Siaga1
02/01/2015,4.98,,aman
03/01/2015,4.69,0,aman
04/01/2015,4.94,11.5,aman
05/01/2015,4.61,2,aman
06/01/2015,4.14,,aman
07/01/2015,4.19,,aman
08/01/2015,3.8,,aman
09/01/2015,3.64,,aman
10/01/2015,3.52,,aman
11/01/2015,1.58,,aman
12/01/2015,1.35,,aman
13/01/2015,3.45,,aman
14/01/2015,1.73,11,aman
15/01/2015,1.77,2.5,aman
16/01/2015,1.67,6.5,aman
17/01/2015,3.54,3,aman
18/01/2015,3.5,0,aman
19/01/2015,1.51,3.5,aman
20/01/2015,1.61,1,aman
21/01/2015,4.8,15.5,aman
22/01/2015,5.16,5,Siaga1
23/01/2015,4.54,3,aman
24/01/2015,4.57,0,aman
25/01/2015,5.11,26.5,Siaga1
26/01/2015,5.1,62.5,Siaga1
27/01/2015,4.33,0,aman
28/01/2015,4.22,0,aman
29/01/2015,4.65,0,aman
30/01/2015,4.89,9,aman
31/01/2015,4.92,1.5,aman
01/02/2015,5.04,4.0,Siaga1
02/02/2015,4.97,3.0,aman
03/02/2015,4.0,2.0,aman
04/02/2015,4.75,2.5,aman
05/02/2015,5.08,5.0,Siaga1
06/02/2015,5.34,0,Siaga1
07/02/2015,5.87,14.0,Siaga1
08/02/2015,5.95,8.0,Siaga1
09/02/2015,5.37,1.5,Siaga1
10/02/2015,5.27,4.0,Siaga1
11/02/2015,5.38,0,Siaga1
12/02/2015,5.83,20.5,Siaga1
13/02/2015,5.6,1.0,Siaga1
14/02/2015,4.97,2.0,aman
15/02/2015,4.59,,aman
16/02/2015,4.56,,aman
17/02/2015,4.74,14.0,aman
18/02/2015,5.14,4.0,Siaga1
19/02/2015,5.74,10.5,Siaga1
20/02/2015,5.15,4.0,Siaga1
21/02/2015,4.74,0,aman
22/02/2015,4.38,,aman
23/02/2015,4.4,,aman
24/02/2015,4.13,,aman
25/02/2015,3.79,,aman
26/02/2015,3.82,,aman
27/02/2015,4.14,,aman
28/02/2015,4.44,,aman
01/03/2015,4.133,0.0,aman
02/03/2015,4.136,2.0,aman
03/03/2015,4.57,2.5,aman
04/03/2015,4.25,,aman
05/03/2015,4.2,6.0,aman
06/03/2015,4.19,0,aman
07/03/2015,3.94,0,aman
08/03/2015,3.88,0,aman
09/03/2015,3.8,0,aman
10/03/2015,3.65,,aman
11/03/2015,3.66,,aman
12/03/2015,4.07,14.5,aman
13/03/2015,4.09,10.0,aman
14/03/2015,3.82,,aman
15/03/2015,4.34,,aman
16/03/2015,4.7,13.0,aman
17/03/2015,4.55,,aman
18/03/2015,4.74,0,aman
19/03/2015,5.2,14.5,Siaga1
20/03/2015,5.5,15.5,Siaga1
21/03/2015,5.33,5.5,Siaga1
22/03/2015,5.22,1.0,Siaga1
23/03/2015,5.11,13.5,Siaga1
24/03/2015,5.21,19.5,Siaga1
25/03/2015,5.15,1.5,Siaga1
26/03/2015,5.12,24.5,Siaga1
27/03/2015,4.81,4.5,aman
28/03/2015,5.14,28.0,Siaga1
29/03/2015,5.19,22.0,Siaga1
30/03/2015,4.63,61.0,aman
31/03/2015,5.08,27.0,Siaga1
01/04/2015,5.89,5.0,Siaga1
02/04/2015,5.97,56.0,Siaga1
03/04/2015,5.21,0,Siaga1
04/04/2015,5.41,1.0,Siaga1
05/04/2015,6.49,65.0,Siaga2
06/04/2015,5.36,,Siaga1
07/04/2015,5.09,0.0,Siaga1
08/04/2015,4.73,20.0,aman
09/04/2015,5.11,1.5,Siaga1
10/04/2015,4.62,0.0,aman
11/04/2015,4.52,,aman
12/04/2015,4.58,5.5,aman
13/04/2015,5,17.5,aman
14/04/2015,4.85,7.0,aman
15/04/2015,5.55,33.5,Siaga1
16/04/2015,5.51,9.5,Siaga1
17/04/2015,5.24,32.0,Siaga1
18/04/2015,5.04,0,Siaga1
19/04/2015,4.82,0,aman
20/04/2015,5.01,17.0,Siaga1
21/04/2015,4.61,50.0,aman
22/04/2015,4.47,0,aman
23/04/2015,4.26,,aman
24/04/2015,4.14,,aman
25/04/2015,4.04,,aman
26/04/2015,4.03,,aman
27/04/2015,4.01,,aman
28/04/2015,4.13,,aman
29/04/2015,3.98,,aman
30/04/2015,4.21,,aman
01/05/2015,04.04,0,aman
02/05/2015,4.31,1.5,aman
03/05/2015,5.05,7.0,Siaga1
04/05/2015,5.2,16.0,Siaga1
05/05/2015,4.8,2.5,aman
06/05/2015,4.7,0,aman
07/05/2015,5.27,6.5,Siaga1
08/05/2015,4.34,,aman
09/05/2015,4.2,17.0,aman
10/05/2015,4.74,,aman
11/05/2015,1.06,,aman
12/05/2015,1.72,,aman
13/05/2015,3.69,,aman
14/05/2015,1.71,,aman
15/05/2015,1.61,,aman
16/05/2015,1.98,27.0,aman
17/05/2015,3.7,,aman
18/05/2015,1.61,,aman
19/05/2015,1.58,,aman
20/05/2015,3.5,0,aman
21/05/2015,1.42,,aman
22/05/2015,1.313,,aman
23/05/2015,1.31,,aman
24/05/2015,1.28,,aman
25/05/2015,1.27,,aman
26/05/2015,1.37,,aman
27/05/2015,1.47,,aman
28/05/2015,1.52,31.0,aman
29/05/2015,1.32,,aman
30/05/2015,1.31,,aman
31/05/2015,1.23,,aman
01/06/2015,3.25,,aman
02/06/2015,3.4,10.5,aman
03/06/2015,3.41,,aman
04/06/2015,3.3,,aman
05/06/2015,3.29,,aman
06/06/2015,3.24,,aman
07/06/2015,3.17,,aman
08/06/2015,3.22,,aman
09/06/2015,3.28,,aman
10/06/2015,3.47,,aman
11/06/2015,3.36,,aman
12/06/2015,3.25,,aman
13/06/2015,3.27,,aman
14/06/2015,3.09,,aman
15/06/2015,3.08,,aman
16/06/2015,3.1,,aman
17/06/2015,3.08,,aman
18/06/2015,3.09,,aman
19/06/2015,3.05,,aman
20/06/2015,3.01,,aman
21/06/2015,3,,aman
22/06/2015,2.97,,aman
23/06/2015,2.91,,aman
24/06/2015,2.88,,aman
25/06/2015,2.86,,aman
26/06/2015,2.86,,aman
27/06/2015,2.91,,aman
28/06/2015,2.91,,aman
29/06/2015,2.87,,aman
30/06/2015,2.83,,aman
01/07/2015,2.86,,aman
02/07/2015,2.85,,aman
03/07/2015,2.81,,aman
04/07/2015,2.82,,aman
05/07/2015,2.73,,aman
06/07/2015,2.77,,aman
07/07/2015,2.79,,aman
08/07/2015,2.76,,aman
09/07/2015,2.76,,aman
10/07/2015,2.73,,aman
11/07/2015,2.74,,aman
12/07/2015,2.71,,aman
13/07/2015,2.75,,aman
14/07/2015,2.8,,aman
15/07/2015,3.04,,aman
16/07/2015,2.74,,aman
17/07/2015,2.73,,aman
18/07/2015,2.69,,aman
19/07/2015,2.67,,aman
20/07/2015,2.69,,aman
21/07/2015,2.65,1.0,aman
22/07/2015,2.67,,aman
23/07/2015,2.67,,aman
24/07/2015,2.64,,aman
25/07/2015,2.67,,aman
26/07/2015,2.8,,aman
27/07/2015,2.75,,aman
28/07/2015,2.72,,aman
29/07/2015,2.65,,aman
30/07/2015,2.63,,aman
31/07/2015,2.68,,aman
01/08/2015,2.95,1.5,aman
02/08/2015,2.76,,aman
03/08/2015,2.67,,aman
04/08/2015,2.66,,aman
05/08/2015,2.64,,aman
06/08/2015,2.64,,aman
07/08/2015,2.62,,aman
08/08/2015,2.65,,aman
09/08/2015,2.57,,aman
10/08/2015,2.61,,aman
11/08/2015,2.57,,aman
12/08/2015,2.87,,aman
13/08/2015,2.97,33.0,aman
14/08/2015,2.68,,aman
15/08/2015,2.72,,aman
16/08/2015,2.67,,aman
17/08/2015,2.61,,aman
18/08/2015,2.63,,aman
19/08/2015,2.63,,aman
20/08/2015,2.62,,aman
21/08/2015,2.59,,aman
22/08/2015,2.57,,aman
23/08/2015,2.53,,aman
24/08/2015,2.58,,aman
25/08/2015,2.56,,aman
26/08/2015,2.56,,aman
27/08/2015,2.59,,aman
28/08/2015,2.59,,aman
29/08/2015,2.56,,aman
30/08/2015,2.56,,aman
31/08/2015,2.55,,aman
01/09/2015,2.53,,aman
02/09/2015,2.54,,aman
03/09/2015,2.54,,aman
04/09/2015,2.54,,aman
05/09/2015,2.55,,aman
06/09/2015,2.55,,aman
07/09/2015,2.54,,aman
08/09/2015,2.52,,aman
09/09/2015,2.53,,aman
10/09/2015,2.5,,aman
11/09/2015,2.49,,aman
12/09/2015,2.54,,aman
13/09/2015,2.54,,aman
14/09/2015,2.53,,aman
15/09/2015,2.52,,aman
16/09/2015,2.6,,aman
17/09/2015,2.5,,aman
18/09/2015,2.58,,aman
19/09/2015,2.5,,aman
20/09/2015,2.5,,aman
21/09/2015,2.87,,aman
22/09/2015,2.98,9.5,aman
23/09/2015,2.82,,aman
24/09/2015,2.74,,aman
25/09/2015,2.66,,aman
26/09/2015,2.59,,aman
27/09/2015,2.51,,aman
28/09/2015,2.82,,aman
29/09/2015,2.81,27.5,aman
30/09/2015,2.71,,aman
01/10/2015,2.73,,aman
02/10/2015,2.9,,aman
03/10/2015,3.49,10.0,aman
04/10/2015,3.33,,aman
05/10/2015,2.71,,aman
06/10/2015,2.69,10.5,aman
07/10/2015,3.37,,aman
08/10/2015,3.5,59.5,aman
09/10/2015,1.03,,aman
10/10/2015,2.97,,aman
11/10/2015,2.8,,aman
12/10/2015,2.84,,aman
13/10/2015,3,,aman
14/10/2015,2.97,,aman
15/10/2015,2.84,,aman
16/10/2015,2.74,,aman
17/10/2015,2.68,,aman
18/10/2015,2.66,,aman
19/10/2015,2.64,,aman
20/10/2015,2.65,,aman
21/10/2015,2.68,,aman
22/10/2015,2.65,,aman
23/10/2015,2.62,,aman
24/10/2015,2.61,,aman
25/10/2015,2.6,,aman
26/10/2015,2.54,,aman
27/10/2015,2.57,,aman
28/10/2015,2.58,,aman
29/10/2015,2.56,,aman
30/10/2015,2.54,,aman
31/10/2015,2.58,,aman
01/11/2015,2.51,,aman
02/11/2015,2.47,,aman
03/11/2015,2.54,,aman
04/11/2015,2.67,4.5,aman
05/11/2015,3.08,,aman
06/11/2015,4.03,56.5,Siaga1
07/11/2015,3.24,0.5,aman
08/11/2015,3.53,18.5,aman
09/11/2015,3.92,9.5,aman
10/11/2015,4.07,0.4,aman
11/11/2015,3.67,,aman
12/11/2015,4.48,44.0,aman
13/11/2015,4.8,49.5,aman
14/11/2015,4.57,48.5,aman
15/11/2015,3.82,,aman
16/11/2015,3.7,20.5,aman
17/11/2015,3.66,21.5,aman
18/11/2015,4.38,57.0,Siaga1
19/11/2015,3.67,,aman
20/11/2015,3.38,,aman
21/11/2015,3.53,,aman
22/11/2015,3.89,34.5,aman
23/11/2015,3.36,30.5,aman
24/11/2015,3.34,,aman
25/11/2015,5.11,23.5,Siaga1
26/11/2015,4.8,23.0,aman
27/11/2015,4.31,10.5,aman
28/11/2015,3.67,9.0,aman
29/11/2015,3.46,,aman
30/11/2015,3.27,,aman
